No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
97,Very Rare,40/112,純潔妖精ガーベラ,"Gerbera, Purity Faerie / Hibiscus Sign",Darkness/Fire,DM23-EX2,"https://duelmasters.fandom.com/wiki/Gerbera,_Purity_Faerie_/_Hibiscus_Sign",120,1.04,0
98,Rare,41/112,DG-パルテノン〜龍の創り出される地〜,DG-Parthenon ~Where Dragon's are Created~,Colourless,DM23-EX2,https://duelmasters.fandom.com/wiki/DG-Parthenon_~Where_Dragon%27s_are_Created~,180,1.57,0
99,Rare,42/112,煌世主ノ正裁Z,Ghiramessiahno Seisai Zett,Light,DM23-EX2,https://duelmasters.fandom.com/wiki/Ghiramessiahno_Seisai_Zett,180,1.57,0
100,Rare,43/112,ライオネルの天宝,Lionel's Jewel,Light,DM23-EX2,https://duelmasters.fandom.com/wiki/Lionel%27s_Jewel,80,0.7,0
101,Rare,44/112,氷牙アクア・マルガレーテ卿,"Sir Aqua Margaret, the Ice Fang / Spellbook Charger",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Sir_Aqua_Margaret,_the_Ice_Fang_/_Spellbook_Charger",80,0.7,0
102,Rare,45/112,電脳鉄人センジュオー,Cyber Iron Man Senjuo / Senju Tune,Water,DM23-EX2,https://duelmasters.fandom.com/wiki/Cyber_Iron_Man_Senjuo_/_Senju_Tune,80,0.7,0
103,Rare,46/112,氷牙要塞クランヴィアV世,"Clanvia the 5th, Ice Fang Fortress",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Clanvia_the_5th,_Ice_Fang_Fortress",80,0.7,0
104,Rare,47/112,蒼狼の次元院アマテラス,"Amaterasu, Blue Wolves Temporal Foundation",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Amaterasu,_Blue_Wolves_Temporal_Foundation",80,0.7,0
105,Rare,48/112,イプシロン・トゥレイト,Epsilon Trait,Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Epsilon_Trait,80,0.7,0
106,Rare,49/112,神羅ダークネス・ロマノフ,"Darkness Romanov, the Enlightened",Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Darkness_Romanov,_the_Enlightened",80,0.7,0
107,Rare,50/112,ガンナー=パトローラー,Gunner = Patroller,Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Gunner_%3D_Patroller,80,0.7,0
108,Rare,51/112,ロスト・チョイス,Lost Choice,Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Lost_Choice,80,0.7,0
109,Rare,52a/112,ボルメテウス・竜装・ドラゴン,Bolmeteus Dragon Gear Dragon,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Bolmeteus_Dragon_Gear_Dragon,80,0.7,0
110,Rare,52b/112,次元の竜装ザンゲキ・マッハアーマー,Dimensional Dragon Gear - Zangeki Mach Armor,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Dimensional_Dragon_Gear_-_Zangeki_Mach_Armor,80,0.7,0
111,Rare,53/112,オ：マルグンサ,O:Marugunsa,Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/O:Marugunsa,80,0.7,0
112,Rare,54/112,ミステリー・キューブ,Mystery Cube,Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Mystery_Cube,120,1.04,0
113,Rare,55/112,深淵なる大地,Abyssal Earth,Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Abyssal_Earth,80,0.7,0
114,Rare,56/112,命の集う聖域フィオナの森,"Fiona Woods, Sanctuary of Gathering Life",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Fiona_Woods,_Sanctuary_of_Gathering_Life",80,0.7,0
115,Rare,57/112,ロイヤル・エイリアン～激演のマザー～,Royal Alien ~Mother of Intense Performance~,Light/Water,DM23-EX2,https://duelmasters.fandom.com/wiki/Royal_Alien_~Mother_of_Intense_Performance~,180,1.57,0
116,Rare,58/112,アルカディア・スパーク,Arcadia Spark,Light/Water,DM23-EX2,https://duelmasters.fandom.com/wiki/Arcadia_Spark,80,0.7,0
117,Rare,59a/112,魔導獣イエス・コレヨリ,"Yes Koreyori, Magical Beast",Light/Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Yes_Koreyori,_Magical_Beast",80,0.7,0
118,Rare,59b/112,次元の至宝 オール・イエス,Dimensional Master Weapon - All Yes,Light/Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Dimensional_Master_Weapon_-_All_Yes,80,0.7,0
119,Rare,60/112,影世界のシクミ,Shikumi of the Shadow World,Light/Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Shikumi_of_the_Shadow_World,320,2.78,0
